"LSOA11CD","class","total_length"
"W01000102","A Road",1.102
"W01000102","Unclassified",6.758
"W01000103","Unclassified",21.127
"W01000103","B Road",0.121
"W01000103","Not Classified",19.067
"W01000103","A Road",6.9
"W01000104","A Road",0.924
"W01000104","Not Classified",7.661
"W01000104","Unclassified",11.927
"W01000104","B Road",1.182
"W01000105","Not Classified",5.071
"W01000105","Unclassified",6.152
"W01000105","A Road",1.856
"W01000106","Unclassified",15.287
"W01000106","Not Classified",19.514
"W01000106","A Road",1.829
"W01000107","Not Classified",57.581
"W01000107","A Road",30.454
"W01000107","Unclassified",18.854
"W01000107","B Road",0.416
"W01000108","Not Classified",4.007
"W01000108","Unclassified",9.358
"W01000108","A Road",3.73
"W01000109","Not Classified",3.345
"W01000109","Unclassified",8.543
"W01000110","Unclassified",4.237
"W01000110","A Road",0.087
"W01000110","Not Classified",0.662
"W01000111","A Road",1.174
"W01000111","B Road",0.488
"W01000111","Not Classified",4.749
"W01000111","Unclassified",8.966
"W01000112","Not Classified",17.819
"W01000112","B Road",1.552
"W01000112","Unclassified",15.913
"W01000113","Not Classified",18.569
"W01000113","B Road",7.027
"W01000113","A Road",8.302
"W01000113","Unclassified",12.459
"W01000114","Unclassified",57.757
"W01000114","Not Classified",81.465
"W01000114","A Road",33.556
"W01000114","B Road",1.874
"W01000115","Not Classified",17.018
"W01000115","A Road",2.095
"W01000115","Unclassified",19.843
"W01000115","B Road",5.126
"W01000116","Unclassified",17.323
"W01000116","A Road",2.856
"W01000116","Not Classified",17.441
"W01000117","Not Classified",4.48
"W01000117","A Road",0.839
"W01000117","Unclassified",8.021
"W01000118","B Road",0.461
"W01000118","Unclassified",14.079
"W01000118","A Road",15.492
"W01000118","Not Classified",36.386
"W01000119","B Road",0.271
"W01000119","A Road",1.05
"W01000119","Unclassified",19.377
"W01000119","Not Classified",8.434
"W01000121","Unclassified",24.87
"W01000121","A Road",30.858
"W01000121","B Road",1.566
"W01000121","Not Classified",135.766
"W01000122","A Road",12.635
"W01000122","Not Classified",41.635
"W01000122","B Road",17.949
"W01000122","Unclassified",116.972
"W01000123","Unclassified",13.618
"W01000123","A Road",0.512
"W01000123","Not Classified",7.247
"W01000124","Not Classified",38.972
"W01000124","B Road",9.148
"W01000124","Unclassified",55.255
"W01000125","Not Classified",7.221
"W01000125","A Road",3.034
"W01000125","Unclassified",9.846
"W01000126","A Road",0.065
"W01000126","Not Classified",0.761
"W01000126","Unclassified",6.94
"W01000127","Not Classified",0.358
"W01000127","Unclassified",2.722
"W01000127","A Road",0.609
"W01000128","Not Classified",1.122
"W01000128","Unclassified",4.58
"W01000128","A Road",0.474
"W01000129","Unclassified",8.406
"W01000129","A Road",5.495
"W01000129","Not Classified",3.997
"W01000130","B Road",0.065
"W01000130","A Road",1.312
"W01000130","Not Classified",1.455
"W01000130","Unclassified",5.412
"W01000131","Unclassified",3.84
"W01000131","Not Classified",2.741
"W01000131","B Road",1.579
"W01000132","Not Classified",0.724
"W01000132","A Road",0.005
"W01000132","Unclassified",3.226
"W01000132","B Road",0.329
"W01000133","A Road",0.271
"W01000133","Not Classified",3.987
"W01000133","B Road",1.07
"W01000133","Unclassified",9.898
"W01000134","A Road",5.052
"W01000134","Not Classified",4.02
"W01000134","Unclassified",7.145
"W01000134","B Road",1.867
"W01000135","Unclassified",9.356
"W01000135","B Road",0.564
"W01000135","Not Classified",1.404
"W01000135","A Road",0.506
"W01000136","B Road",0.408
"W01000136","Not Classified",1.561
"W01000136","A Road",0.653
"W01000136","Unclassified",6.49
"W01000137","A Road",10.727
"W01000137","Unclassified",72.624
"W01000137","B Road",7.917
"W01000137","Not Classified",32.132
"W01000138","A Road",0.094
"W01000138","B Road",1.495
"W01000138","Unclassified",4.101
"W01000138","Not Classified",0.998
"W01000139","B Road",0.156
"W01000139","A Road",0.399
"W01000139","Unclassified",3.74
"W01000139","Not Classified",0.832
"W01000140","Unclassified",14.374
"W01000140","B Road",0.236
"W01000140","A Road",5.321
"W01000140","Not Classified",9.057
"W01000141","Unclassified",6.136
"W01000141","Not Classified",0.213
"W01000141","A Road",0.374
"W01000142","A Road",0.974
"W01000142","Unclassified",6.174
"W01000142","Not Classified",2.587
"W01000143","Not Classified",1.008
"W01000143","Unclassified",2.628
"W01000144","Not Classified",1.262
"W01000144","A Road",3.346
"W01000144","B Road",0.598
"W01000144","Unclassified",4.105
"W01000145","A Road",0.307
"W01000145","Unclassified",3.299
"W01000145","Not Classified",0.46
"W01000146","Unclassified",8.565
"W01000146","Not Classified",1.337
"W01000146","A Road",0.701
"W01000147","Unclassified",13.292
"W01000147","Not Classified",4.071
"W01000147","A Road",0.484
"W01000148","Not Classified",2.371
"W01000148","Unclassified",3.748
"W01000148","A Road",0.818
"W01000149","A Road",0.792
"W01000149","Unclassified",7.844
"W01000149","Not Classified",4.369
"W01000150","Unclassified",8.061
"W01000150","Not Classified",0.456
"W01000151","Unclassified",4.164
"W01000151","A Road",0.274
"W01000151","Not Classified",2.386
"W01000152","Not Classified",3.136
"W01000152","A Road",0.528
"W01000152","Unclassified",4.631
"W01000153","A Road",4.262
"W01000153","Not Classified",7.793
"W01000153","Unclassified",13.156
"W01000154","Not Classified",0.735
"W01000154","Unclassified",5.244
"W01000155","Unclassified",3.565
"W01000155","B Road",0.823
"W01000155","Not Classified",0.348
"W01000156","Unclassified",4.319
"W01000156","B Road",0.002
"W01000156","Not Classified",0.302
"W01000157","Unclassified",3.471
"W01000157","Not Classified",1.148
"W01000158","B Road",1.223
"W01000158","Not Classified",1.393
"W01000158","Unclassified",5.584
"W01000159","Unclassified",66.919
"W01000159","A Road",17.47
"W01000159","Not Classified",43.091
"W01000159","B Road",14.401
"W01000162","B Road",16.583
"W01000162","Unclassified",134.274
"W01000162","Not Classified",53.238
"W01000162","A Road",17.952
"W01000163","Not Classified",2.624
"W01000163","Unclassified",8.223
"W01000163","A Road",0.7
"W01000164","Unclassified",6.839
"W01000164","Not Classified",1.799
"W01000165","Not Classified",0.081
"W01000165","A Road",1.001
"W01000165","Unclassified",7.871
"W01000165","B Road",0.02
"W01000166","Unclassified",9.034
"W01000166","Not Classified",1.469
"W01000166","A Road",1.314
"W01000166","B Road",0.283
"W01000167","A Road",1.809
"W01000167","Unclassified",7.92
"W01000167","Not Classified",1.298
"W01000168","Not Classified",1.41
"W01000168","Unclassified",4.399
"W01000168","A Road",0.647
"W01000169","A Road",0.212
"W01000169","Unclassified",7.073
"W01000169","Not Classified",0.914
"W01000170","Not Classified",3.882
"W01000170","Unclassified",11.448
"W01000171","Not Classified",2.616
"W01000171","Unclassified",8.897
"W01000172","A Road",2.266
"W01000172","Unclassified",7.164
"W01000172","Not Classified",1.949
"W01000173","Not Classified",4.83
"W01000173","Unclassified",14.434
"W01000173","A Road",0.109
"W01000173","B Road",0.066
"W01000174","Not Classified",0.094
"W01000174","Unclassified",4.095
"W01000174","B Road",0.364
"W01000175","Unclassified",6.593
"W01000175","Not Classified",0.02
"W01000175","B Road",0.611
"W01000176","A Road",1.724
"W01000176","Not Classified",1.414
"W01000176","Unclassified",4.669
"W01000177","Not Classified",2.189
"W01000177","A Road",0.511
"W01000177","Unclassified",6.162
"W01000178","A Road",1.762
"W01000178","Unclassified",4.394
"W01000178","Not Classified",0.872
"W01000179","A Road",0.065
"W01000179","Unclassified",7.948
"W01000179","Not Classified",0.254
"W01000180","Unclassified",6.604
"W01000180","Not Classified",2.951
"W01000180","B Road",1.761
"W01000181","Not Classified",0.063
"W01000181","Unclassified",3.723
"W01000181","B Road",1.534
"W01000182","B Road",0.867
"W01000182","Not Classified",0.743
"W01000182","A Road",1.572
"W01000182","Unclassified",4.475
"W01000183","Unclassified",4.879
"W01000183","Not Classified",0.276
"W01000183","B Road",0.805
"W01000183","A Road",1.22
"W01000184","Not Classified",19.941
"W01000184","Unclassified",12.977
"W01000184","A Road",2.14
"W01000185","Not Classified",47.913
"W01000185","Unclassified",21.619
"W01000185","B Road",8.664
"W01000186","Unclassified",4.972
"W01000186","Not Classified",0.914
"W01000186","B Road",0.561
"W01000186","A Road",1.657
"W01000187","Not Classified",1.151
"W01000187","A Road",0.637
"W01000187","Unclassified",4.579
"W01000188","Unclassified",4.782
"W01000188","A Road",0.352
"W01000188","B Road",0.172
"W01000188","Not Classified",0.31
"W01000189","Unclassified",77.429
"W01000189","A Road",12.462
"W01000189","B Road",31.382
"W01000189","Not Classified",129.861
"W01000190","Not Classified",134.809
"W01000190","B Road",19.454
"W01000190","A Road",13.272
"W01000190","Unclassified",85.035
"W01000191","A Road",7.488
"W01000191","Not Classified",16.924
"W01000191","B Road",1.458
"W01000191","Unclassified",22.786
"W01000192","A Road",11.588
"W01000192","B Road",6.718
"W01000192","Not Classified",21.984
"W01000192","Unclassified",25.156
"W01000193","B Road",1.236
"W01000193","Unclassified",16.648
"W01000193","Not Classified",8.865
"W01000193","A Road",8.22
"W01000194","A Road",0.63
"W01000194","Not Classified",0.889
"W01000194","B Road",0.507
"W01000194","Unclassified",5.736
"W01000195","A Road",1.548
"W01000195","Not Classified",0.302
"W01000195","Unclassified",4.826
"W01000196","A Road",2.603
"W01000196","Unclassified",4.039
"W01000196","Not Classified",2.16
"W01000197","A Road",2.788
"W01000197","Unclassified",6.896
"W01000197","Not Classified",7.624
"W01000198","Unclassified",2.154
"W01000198","Not Classified",0.136
"W01000198","B Road",0.227
"W01000199","B Road",7.714
"W01000199","A Road",3.015
"W01000199","Unclassified",8.929
"W01000199","Not Classified",11.975
"W01000200","A Road",0.771
"W01000200","Unclassified",5.227
"W01000200","Not Classified",1.093
"W01000201","A Road",1.584
"W01000201","Not Classified",2.429
"W01000201","B Road",2.179
"W01000201","Unclassified",8.744
"W01000202","A Road",2.804
"W01000202","Unclassified",76.799
"W01000202","Not Classified",84.845
"W01000202","B Road",13.927
"W01000203","Not Classified",70.176
"W01000203","B Road",13.108
"W01000203","A Road",21.756
"W01000203","Unclassified",54.372
"W01000204","B Road",6.465
"W01000204","Not Classified",23.629
"W01000204","A Road",4.816
"W01000204","Unclassified",19.937
"W01000205","B Road",8.221
"W01000205","Not Classified",41.226
"W01000205","Unclassified",38.133
"W01000206","A Road",3.789
"W01000206","Not Classified",21.181
"W01000206","Unclassified",55.206
"W01000206","B Road",6.747
"W01000207","Not Classified",49.473
"W01000207","A Road",23.923
"W01000207","Unclassified",106.437
"W01000207","B Road",11.899
"W01000208","Not Classified",22.35
"W01000208","B Road",1.015
"W01000208","A Road",10.94
"W01000208","Unclassified",38.965
"W01000209","Not Classified",2.142
"W01000209","A Road",0.608
"W01000209","Unclassified",5.792
"W01000210","A Road",3.742
"W01000210","B Road",0.021
"W01000210","Not Classified",6.66
"W01000210","Unclassified",11.769
"W01000211","B Road",15.852
"W01000211","Not Classified",88.15
"W01000211","A Road",4.221
"W01000211","Unclassified",133.089
"W01000212","Not Classified",0.001
"W01000212","A Road",0.6
"W01000212","Unclassified",7.525
"W01000212","B Road",0
"W01000213","Not Classified",0.37
"W01000213","B Road",0.596
"W01000213","A Road",0.225
"W01000213","Unclassified",3.399
"W01000214","Not Classified",3.972
"W01000214","Unclassified",5.171
"W01000214","A Road",0.759
"W01000215","Not Classified",0.207
"W01000215","Unclassified",4.176
"W01000215","A Road",0.267
"W01000216","Not Classified",1.988
"W01000216","Unclassified",5.509
"W01000216","A Road",0.685
"W01000217","Unclassified",6.755
"W01000217","Not Classified",0.708
"W01000217","A Road",1.188
"W01000218","Unclassified",3.548
"W01000218","A Road",0.42
"W01000218","Not Classified",3
"W01000218","B Road",0.091
"W01000219","Unclassified",6.874
"W01000219","A Road",0.522
"W01000219","Not Classified",1.488
"W01000220","Unclassified",7.432
"W01000220","A Road",1.17
"W01000220","Not Classified",0.206
"W01000221","Unclassified",3.732
"W01000222","Not Classified",0.207
"W01000222","Unclassified",5.722
"W01000223","B Road",0.221
"W01000223","Unclassified",8.324
"W01000223","A Road",2.945
"W01000223","Not Classified",5.015
"W01000224","A Road",0.349
"W01000224","Not Classified",0.713
"W01000224","Unclassified",4.483
"W01000225","Unclassified",4.782
"W01000225","Not Classified",2.607
"W01000225","A Road",1.075
"W01000226","Unclassified",3.54
"W01000226","B Road",0.24
"W01000226","Not Classified",0.957
"W01000226","A Road",1.566
"W01000227","B Road",0
"W01000227","Unclassified",4.117
"W01000227","A Road",0.621
"W01000227","Not Classified",0.315
"W01000228","Unclassified",3.305
"W01000228","Not Classified",1.033
"W01000228","A Road",0.572
"W01000228","B Road",0.737
"W01000229","Unclassified",3.322
"W01000229","A Road",0.184
"W01000230","Not Classified",0.068
"W01000230","Unclassified",5.282
"W01000230","A Road",0.571
"W01000231","B Road",0.327
"W01000231","Not Classified",0.06
"W01000231","Unclassified",3.043
"W01000232","Not Classified",0.054
"W01000232","B Road",0.457
"W01000232","Unclassified",3.039
"W01000233","A Road",0.163
"W01000233","Unclassified",2.493
"W01000233","Not Classified",0.001
"W01000233","B Road",0.116
"W01000234","B Road",0.108
"W01000234","Not Classified",0.029
"W01000234","Unclassified",3.361
"W01000235","Unclassified",3.541
"W01000235","Not Classified",0.074
"W01000236","A Road",0.37
"W01000236","Not Classified",1.091
"W01000236","Unclassified",4.48
"W01000237","Not Classified",0.832
"W01000237","Unclassified",5.143
"W01000238","Unclassified",2.76
"W01000238","A Road",0.323
"W01000238","B Road",0.274
"W01000238","Not Classified",0.279
"W01000239","B Road",0.69
"W01000239","Unclassified",3.232
"W01000239","Not Classified",1.677
"W01000239","A Road",0.284
"W01000240","Not Classified",1.708
"W01000240","A Road",1.202
"W01000240","B Road",0.131
"W01000240","Unclassified",3.865
"W01000241","B Road",0.449
"W01000241","A Road",0.804
"W01000241","Unclassified",3.39
"W01000241","Not Classified",1.618
"W01000242","A Road",2.404
"W01000242","Unclassified",5.775
