"LSOA11CD","descriptiveterm","total_length"
"W01000311","Private Road - Restricted Access",0.708
"W01000312","Local Street",3.207
"W01000312","Minor Road",2.22
"W01000312","A Road",0.145
"W01000312","Private Road - Restricted Access",1.064
"W01000312","B Road",0.647
"W01000313","Local Street",8.163
"W01000313","Private Road - Publicly Accessible",0.488
"W01000313","Private Road - Restricted Access",0.951
"W01000313","Minor Road",1.566
"W01000313","B Road",1.108
"W01000313","A Road",0.228
"W01000313","Alley",0.495
"W01000314","B Road",0.392
"W01000314","Minor Road",0.944
"W01000314","Private Road - Restricted Access",0.396
"W01000314","Alley",0.261
"W01000314","A Road",0.791
"W01000314","Local Street",3.763
"W01000315","Local Street",8.568
"W01000315","Minor Road",4.064
"W01000315","A Road",6.4
"W01000315","Private Road - Restricted Access",2.09
"W01000315","Alley",0.545
"W01000315","B Road",0.887
"W01000316","A Road",0.314
"W01000316","Local Street",4.485
"W01000316","Minor Road",1.396
"W01000316","Private Road - Restricted Access",0.236
"W01000317","A Road",2.226
"W01000317","Minor Road",1.637
"W01000317","Private Road - Restricted Access",0.186
"W01000317","Local Street",6.112
"W01000318","Minor Road",0.571
"W01000318","Private Road - Restricted Access",0.082
"W01000318","Local Street",2.922
"W01000319","Private Road - Restricted Access",1.52
"W01000319","A Road",1.703
"W01000319","Local Street",4.193
"W01000319","Minor Road",2.112
"W01000319","Alley",0.1
"W01000319","B Road",0.7
"W01000320","A Road",6.16
"W01000320","Minor Road",16.273
"W01000320","Private Road - Restricted Access",9.153
"W01000320","Local Street",7.442
"W01000321","Alley",0.047
"W01000321","A Road",2.56
"W01000321","Local Street",4.657
"W01000321","Private Road - Restricted Access",0.376
"W01000321","Minor Road",2.162
"W01000322","Private Road - Restricted Access",1.111
"W01000322","Minor Road",2.164
"W01000322","A Road",4.421
"W01000322","Local Street",4.576
"W01000323","A Road",16.465
"W01000323","Minor Road",10.47
"W01000323","Private Road - Restricted Access",7.868
"W01000323","Local Street",7.97
"W01000323","B Road",3.331
"W01000324","A Road",1.588
"W01000324","Local Street",3.921
"W01000324","Private Road - Restricted Access",0.61
"W01000324","Minor Road",4.692
"W01000325","Minor Road",6.575
"W01000325","A Road",6.178
"W01000325","Alley",0.095
"W01000325","Local Street",5.022
"W01000325","Private Road - Restricted Access",2.864
"W01000325","B Road",4.087
"W01000326","Minor Road",8.711
"W01000326","Private Road - Publicly Accessible",0.069
"W01000326","Alley",0.083
"W01000326","Private Road - Restricted Access",2.761
"W01000326","A Road",3.103
"W01000326","Local Street",4.353
"W01000327","Minor Road",10.282
"W01000327","Private Road - Restricted Access",2.74
"W01000327","A Road",15.015
"W01000327","Local Street",8.799
"W01000327","Private Road - Publicly Accessible",1.392
"W01000328","A Road",3.586
"W01000328","Local Street",8.561
"W01000328","Private Road - Restricted Access",4.033
"W01000328","B Road",6.224
"W01000328","Alley",0.78
"W01000328","Private Road - Publicly Accessible",0.746
"W01000328","Minor Road",4.286
"W01000329","Minor Road",1.525
"W01000329","Private Road - Restricted Access",1.787
"W01000329","Private Road - Publicly Accessible",0.543
"W01000329","Local Street",2.907
"W01000329","B Road",3.444
"W01000329","A Road",2.118
"W01000329","Alley",1.073
"W01000330","Private Road - Publicly Accessible",0.333
"W01000330","A Road",0.692
"W01000330","Minor Road",1.454
"W01000330","Local Street",3.958
"W01000330","Private Road - Restricted Access",0.034
"W01000331","Local Street",4.121
"W01000331","A Road",0.012
"W01000331","Private Road - Restricted Access",0.216
"W01000331","Minor Road",1.095
"W01000332","Minor Road",9.37
"W01000332","Private Road - Restricted Access",14.009
"W01000332","B Road",2.011
"W01000332","A Road",21.252
"W01000332","Local Street",15.773
"W01000333","Local Street",4.872
"W01000333","B Road",1.28
"W01000333","Minor Road",2.483
"W01000333","A Road",4.139
"W01000333","Private Road - Publicly Accessible",3.238
"W01000333","Alley",0.199
"W01000333","Private Road - Restricted Access",5.912
"W01000334","Private Road - Restricted Access",0.689
"W01000334","Private Road - Publicly Accessible",0.127
"W01000334","Minor Road",2.478
"W01000334","Alley",0.472
"W01000334","B Road",0.813
"W01000334","Local Street",6.705
"W01000335","Private Road - Publicly Accessible",0.372
"W01000335","Alley",0.149
"W01000335","Minor Road",1.096
"W01000335","Local Street",5.824
"W01000336","Local Street",4.986
"W01000336","Private Road - Restricted Access",0.105
"W01000336","Minor Road",1.814
"W01000336","B Road",0.141
"W01000336","A Road",2.275
"W01000336","Alley",0.341
"W01000337","Private Road - Publicly Accessible",0.025
"W01000337","B Road",0.542
"W01000337","Alley",0.902
"W01000337","Private Road - Restricted Access",0.846
"W01000337","Local Street",6.959
"W01000338","Private Road - Restricted Access",9.901
"W01000338","A Road",4.955
"W01000338","Minor Road",35.271
"W01000338","Local Street",7.554
"W01000339","Minor Road",27.485
"W01000339","B Road",4.131
"W01000339","Private Road - Restricted Access",9.036
"W01000339","Local Street",1.488
"W01000339","A Road",7.485
"W01000340","Minor Road",41.062
"W01000340","A Road",21.827
"W01000340","Private Road - Publicly Accessible",0.682
"W01000340","Private Road - Restricted Access",9.845
"W01000340","Alley",0.064
"W01000340","Local Street",6.294
"W01000341","Minor Road",3.041
"W01000341","Local Street",5.359
"W01000341","Private Road - Restricted Access",0.162
"W01000341","Alley",0.116
"W01000341","B Road",0.767
"W01000342","Local Street",5.778
"W01000342","B Road",0.506
"W01000342","A Road",0.668
"W01000342","Private Road - Restricted Access",0.08
"W01000342","Minor Road",0.971
"W01000343","Minor Road",1.112
"W01000343","Local Street",3.559
"W01000343","A Road",3.105
"W01000343","Private Road - Restricted Access",0.019
"W01000344","A Road",2.253
"W01000344","Minor Road",1.372
"W01000344","Local Street",5.324
"W01000345","Minor Road",23.81
"W01000345","Local Street",5.114
"W01000345","A Road",5.994
"W01000345","B Road",9.571
"W01000345","Private Road - Restricted Access",5.981
"W01000346","B Road",0.868
"W01000346","A Road",15.393
"W01000346","Local Street",10.293
"W01000346","Minor Road",57.068
"W01000346","Private Road - Restricted Access",16.607
"W01000346","Private Road - Publicly Accessible",0.187
"W01000347","Minor Road",16.099
"W01000347","Alley",0.416
"W01000347","Local Street",7.779
"W01000347","B Road",5.992
"W01000347","Private Road - Restricted Access",4.604
"W01000348","Private Road - Restricted Access",1.099
"W01000348","Minor Road",3.205
"W01000348","Local Street",3.733
"W01000348","B Road",1.417
"W01000348","Alley",0.21
"W01000349","Private Road - Publicly Accessible",1.026
"W01000349","Private Road - Restricted Access",0.331
"W01000349","A Road",6.858
"W01000349","B Road",3.206
"W01000349","Local Street",5.467
"W01000349","Minor Road",2.143
"W01000350","Private Road - Publicly Accessible",1.008
"W01000350","A Road",2.05
"W01000350","B Road",0.248
"W01000350","Minor Road",2.597
"W01000350","Private Road - Restricted Access",0.578
"W01000350","Pedestrianised Street",0.199
"W01000350","Alley",0.063
"W01000350","Local Street",4.965
"W01000351","B Road",2.931
"W01000351","Alley",0.059
"W01000351","Local Street",5.259
"W01000351","Minor Road",9.441
"W01000351","Private Road - Restricted Access",1.36
"W01000352","Minor Road",1.858
"W01000352","Local Street",2.273
"W01000352","Private Road - Restricted Access",0.31
"W01000352","A Road",0.529
"W01000353","Local Street",4.421
"W01000353","Alley",0.071
"W01000353","Minor Road",0.607
"W01000353","Private Road - Restricted Access",0.638
"W01000354","Minor Road",8.959
"W01000354","Local Street",5.851
"W01000354","Private Road - Publicly Accessible",0.032
"W01000354","B Road",0.636
"W01000354","Private Road - Restricted Access",5.513
"W01000354","A Road",1.883
"W01000355","Local Street",5.394
"W01000355","Alley",0.145
"W01000355","Minor Road",1.396
"W01000355","A Road",0.746
"W01000355","B Road",2.882
"W01000355","Private Road - Restricted Access",2.135
"W01000356","Private Road - Restricted Access",1.195
"W01000356","B Road",1.774
"W01000356","Minor Road",1.329
"W01000356","Local Street",3.853
"W01000359","Local Street",5.714
"W01000359","A Road",6.279
"W01000359","Minor Road",5.487
"W01000359","B Road",2.751
"W01000359","Private Road - Restricted Access",4.414
"W01000360","Local Street",3.677
"W01000360","Private Road - Publicly Accessible",0.198
"W01000360","Minor Road",1.776
"W01000360","Private Road - Restricted Access",0.255
"W01000360","B Road",0.654
"W01000361","Alley",0.12
"W01000361","B Road",5.559
"W01000361","Private Road - Restricted Access",13.369
"W01000361","Private Road - Publicly Accessible",0.056
"W01000361","Local Street",5.995
"W01000361","A Road",4.292
"W01000361","Minor Road",30.871
"W01000362","Private Road - Restricted Access",0.404
"W01000362","Alley",0.345
"W01000362","A Road",0.251
"W01000362","B Road",1.375
"W01000362","Local Street",4.118
"W01000362","Minor Road",3.02
"W01000363","Private Road - Restricted Access",0.63
"W01000363","A Road",0.508
"W01000363","B Road",1.097
"W01000363","Minor Road",3.038
"W01000363","Local Street",3.578
"W01000364","Minor Road",11.185
"W01000364","Private Road - Restricted Access",3.127
"W01000364","A Road",8.594
"W01000364","Local Street",5.853
"W01000365","Minor Road",1.776
"W01000365","A Road",0.239
"W01000365","Private Road - Restricted Access",1.08
"W01000365","Local Street",6.866
"W01000365","Alley",0.067
"W01000365","B Road",0.802
"W01000366","Minor Road",1.393
"W01000366","B Road",0.711
"W01000366","Local Street",4.241
"W01000366","A Road",2.705
"W01000366","Private Road - Restricted Access",0.144
"W01000367","Private Road - Restricted Access",1.288
"W01000367","Local Street",4.708
"W01000367","B Road",2.764
"W01000367","Minor Road",5.411
"W01000367","A Road",4.005
"W01000368","Minor Road",0.778
"W01000368","A Road",3.284
"W01000368","Private Road - Restricted Access",0.125
"W01000368","Local Street",7.977
"W01000369","Local Street",3.929
"W01000369","Private Road - Restricted Access",0.75
"W01000369","Alley",0.046
"W01000369","Minor Road",3.518
"W01000369","B Road",1.295
"W01000369","A Road",7.418
"W01000370","Local Street",4.31
"W01000370","Private Road - Restricted Access",4.012
"W01000370","B Road",2.799
"W01000370","Minor Road",6.77
"W01000370","Private Road - Publicly Accessible",0.063
"W01000370","A Road",7.858
"W01000370","Alley",0.048
"W01000371","Local Street",2.487
"W01000371","B Road",0.802
"W01000371","A Road",0.513
"W01000371","Minor Road",0.747
"W01000371","Private Road - Restricted Access",0.197
"W01000372","A Road",4.087
"W01000372","Pedestrianised Street",0.855
"W01000372","Local Street",5.238
"W01000372","B Road",1.635
"W01000372","Private Road - Publicly Accessible",0.265
"W01000372","Minor Road",0.752
"W01000372","Private Road - Restricted Access",1.695
"W01000373","B Road",2.33
"W01000373","Minor Road",4.596
"W01000373","Alley",0.448
"W01000373","Private Road - Restricted Access",0.058
"W01000373","Local Street",3.984
"W01000374","Private Road - Publicly Accessible",0.039
"W01000374","Local Street",3.822
"W01000374","A Road",0.04
"W01000374","Minor Road",2.52
"W01000374","Private Road - Restricted Access",0.146
"W01000374","Alley",0.061
"W01000375","Minor Road",4.107
"W01000375","Private Road - Restricted Access",0.86
"W01000375","B Road",1.328
"W01000375","Private Road - Publicly Accessible",0.085
"W01000375","Local Street",5.652
"W01000375","A Road",7.731
"W01000375","Alley",0.147
"W01000376","B Road",1.519
"W01000376","Private Road - Restricted Access",1.772
"W01000376","A Road",3.817
"W01000376","Local Street",3.189
"W01000376","Minor Road",3.011
"W01000377","A Road",2.321
"W01000377","Minor Road",6.617
"W01000377","Local Street",3.568
"W01000377","Private Road - Restricted Access",1.261
"W01000378","A Road",1.217
"W01000378","Private Road - Restricted Access",0.624
"W01000378","Local Street",3.847
"W01000378","Minor Road",1.379
"W01000379","Minor Road",3.693
"W01000379","Local Street",3.656
"W01000379","Private Road - Restricted Access",0.621
"W01000380","Private Road - Restricted Access",0.354
"W01000380","Local Street",2.317
"W01000380","A Road",1.479
"W01000380","Minor Road",4.363
"W01000381","Minor Road",0.105
"W01000381","Private Road - Restricted Access",0.33
"W01000381","Local Street",4.197
"W01000382","B Road",0.091
"W01000382","A Road",1.145
"W01000382","Local Street",4.432
"W01000382","Private Road - Restricted Access",1.193
"W01000382","Minor Road",0.56
"W01000383","A Road",9.921
"W01000383","B Road",10.264
"W01000383","Local Street",12.929
"W01000383","Minor Road",57.113
"W01000383","Private Road - Publicly Accessible",0.705
"W01000383","Private Road - Restricted Access",20.585
"W01000384","Private Road - Restricted Access",1.939
"W01000384","Private Road - Publicly Accessible",0.102
"W01000384","B Road",2.829
"W01000384","Minor Road",0.665
"W01000384","Local Street",3.773
"W01000384","A Road",1.739
"W01000385","Alley",0.523
"W01000385","B Road",1.328
"W01000385","Local Street",6.032
"W01000386","Private Road - Restricted Access",0.997
"W01000386","Minor Road",0.246
"W01000386","Alley",0.594
"W01000386","Local Street",5.673
"W01000386","B Road",1.895
"W01000387","Local Street",4.129
"W01000387","A Road",2.751
"W01000387","Minor Road",1.085
"W01000387","Private Road - Restricted Access",0.051
"W01000388","Local Street",4.149
"W01000388","Minor Road",0.733
"W01000388","A Road",0.908
"W01000389","B Road",1.78
"W01000389","Private Road - Restricted Access",6.226
"W01000389","Alley",0.149
"W01000389","Minor Road",17.667
"W01000389","A Road",5.712
"W01000389","Local Street",6.335
"W01000390","Local Street",5.182
"W01000390","Minor Road",8.446
"W01000390","Private Road - Restricted Access",5.551
"W01000390","B Road",7.058
"W01000391","Private Road - Restricted Access",1.039
"W01000391","Local Street",5.295
"W01000391","Alley",0.27
"W01000391","B Road",2.974
"W01000391","Minor Road",2.769
"W01000392","A Road",5.217
"W01000392","Private Road - Restricted Access",0.339
"W01000392","B Road",0.691
"W01000392","Local Street",4.556
"W01000392","Minor Road",1.609
"W01000393","Pedestrianised Street",0.114
"W01000393","A Road",1.641
"W01000393","Alley",0.108
"W01000393","Private Road - Restricted Access",0.636
"W01000393","B Road",0.317
"W01000393","Minor Road",2.455
"W01000393","Local Street",5.104
"W01000394","A Road",13.579
"W01000394","Private Road - Restricted Access",19.622
"W01000394","Local Street",6.186
"W01000394","B Road",11.399
"W01000394","Minor Road",35.932
"W01000395","A Road",5.291
"W01000395","Minor Road",1.883
"W01000395","Private Road - Restricted Access",1.428
"W01000395","Local Street",3.485
"W01000396","Private Road - Restricted Access",0.46
"W01000396","Minor Road",2.38
"W01000396","B Road",2.031
"W01000396","Local Street",4.839
"W01000397","Minor Road",9.397
"W01000397","B Road",1.358
"W01000397","Private Road - Restricted Access",2.657
"W01000397","Local Street",4.169
"W01000398","Private Road - Restricted Access",4.591
"W01000398","Minor Road",11.373
"W01000398","A Road",2.299
"W01000398","Local Street",5.29
"W01000398","B Road",5.096
"W01000399","B Road",3.787
"W01000399","Local Street",4.154
"W01000399","Private Road - Restricted Access",5.548
"W01000399","A Road",4.92
"W01000399","Alley",0.101
"W01000399","Minor Road",12.482
"W01000400","Alley",0.848
"W01000400","B Road",3.251
"W01000400","Minor Road",1.612
"W01000400","Local Street",4.224
"W01000400","A Road",1.143
"W01000400","Private Road - Restricted Access",1.159
"W01000401","B Road",1.605
"W01000401","Private Road - Restricted Access",0.549
"W01000401","Alley",0.059
"W01000401","Minor Road",3.172
"W01000401","Local Street",4.392
"W01000402","Local Street",5.385
"W01000402","Alley",0.382
"W01000402","B Road",1.214
"W01000402","Pedestrianised Street",0.097
"W01000402","Minor Road",1.087
"W01000402","Private Road - Restricted Access",1.68
"W01000402","A Road",2.84
"W01000403","Alley",0.121
"W01000403","Private Road - Restricted Access",14.55
"W01000403","Minor Road",49.671
"W01000403","A Road",13.1
"W01000403","Local Street",2.835
"W01000404","A Road",11.552
"W01000404","Alley",0.199
"W01000404","Private Road - Publicly Accessible",0.077
"W01000404","Minor Road",28.678
"W01000404","Local Street",5.097
"W01000404","Private Road - Restricted Access",11.456
"W01000404","B Road",4.867
"W01000405","Minor Road",0.735
"W01000405","Private Road - Restricted Access",1.135
"W01000405","Local Street",5.726
"W01000405","B Road",1.096
"W01000405","Alley",0.402
"W01000406","Minor Road",4.117
"W01000406","B Road",0.784
"W01000406","Alley",0.231
"W01000406","Private Road - Restricted Access",1.595
"W01000406","Local Street",4.384
"W01000407","Minor Road",8
"W01000407","B Road",3.992
"W01000407","Private Road - Restricted Access",14.095
"W01000407","Local Street",7.394
"W01000407","A Road",10.585
"W01000407","Alley",0.103
"W01000408","Alley",0.092
"W01000408","B Road",1.466
"W01000408","Private Road - Restricted Access",2.821
"W01000408","Minor Road",16.864
"W01000408","Local Street",4.463
"W01000409","Local Street",4.986
"W01000409","Private Road - Restricted Access",0.314
"W01000409","A Road",0.021
"W01000409","Minor Road",0.221
"W01000409","Alley",0.154
"W01000409","B Road",0.479
"W01000410","Private Road - Restricted Access",4.378
"W01000410","Local Street",6.005
"W01000410","Minor Road",13.241
"W01000410","A Road",8.843
"W01000410","Alley",0.522
"W01000410","B Road",5.997
"W01000411","Alley",0.293
"W01000411","Private Road - Restricted Access",2.798
"W01000411","Minor Road",8.153
"W01000411","Local Street",7.337
"W01000411","B Road",0.843
"W01000412","Local Street",5.382
"W01000412","Private Road - Restricted Access",4.741
"W01000412","Alley",0.27
"W01000412","B Road",6.564
"W01000412","Minor Road",21.672
"W01000413","Local Street",3.392
"W01000413","Private Road - Restricted Access",0.075
"W01000413","Minor Road",0.087
"W01000414","Minor Road",1.255
"W01000414","Local Street",3.317
"W01000414","Private Road - Restricted Access",0.332
"W01000414","Alley",0.103
"W01000415","B Road",0.5
"W01000415","Alley",0.246
"W01000415","A Road",1.19
"W01000415","Local Street",3.846
"W01000415","Minor Road",0.729
"W01000415","Private Road - Restricted Access",0.488
"W01000416","Local Street",4.249
"W01000416","Minor Road",0.343
"W01000416","A Road",1.635
"W01000416","Private Road - Restricted Access",0.263
"W01000417","Private Road - Restricted Access",5.102
"W01000417","Minor Road",10.554
"W01000417","B Road",5.062
"W01000417","Alley",0.036
"W01000417","Local Street",7.215
"W01000418","Private Road - Restricted Access",7.909
"W01000418","Private Road - Publicly Accessible",0.059
"W01000418","Local Street",4.244
"W01000418","A Road",10.64
"W01000418","Minor Road",23.782
"W01000418","B Road",5.747
"W01000418","Alley",0.034
"W01000419","Local Street",4.001
"W01000419","Minor Road",8.54
"W01000419","A Road",7.676
"W01000419","Alley",0.182
"W01000419","B Road",4.472
"W01000419","Private Road - Restricted Access",3.676
"W01000420","Local Street",4.903
"W01000420","Alley",0.123
"W01000420","A Road",2.628
"W01000420","Private Road - Restricted Access",2.11
"W01000420","Minor Road",0.983
"W01000420","B Road",4.048
"W01000422","B Road",1.641
"W01000422","A Road",2.265
"W01000422","Minor Road",1.221
"W01000422","Local Street",7.073
"W01000422","Alley",0.251
"W01000422","Private Road - Restricted Access",0.095
"W01000423","Minor Road",2.671
"W01000423","Private Road - Restricted Access",1.347
"W01000423","Local Street",5.494
"W01000424","Private Road - Restricted Access",0.641
"W01000424","Alley",0.129
"W01000424","Minor Road",0.826
"W01000424","A Road",0.706
"W01000424","Local Street",3.348
"W01000425","Minor Road",0.86
"W01000425","A Road",0.637
"W01000425","Local Street",6.742
"W01000425","Private Road - Restricted Access",0.57
"W01000426","Alley",0.094
"W01000426","A Road",3.91
"W01000426","Minor Road",1.771
"W01000426","Private Road - Restricted Access",7.081
"W01000426","Local Street",9.314
"W01000426","B Road",1.183
"W01000427","A Road",18.714
"W01000427","B Road",31.438
"W01000427","Local Street",16.914
"W01000427","Private Road - Publicly Accessible",0.483
"W01000427","Minor Road",112.335
"W01000427","Private Road - Restricted Access",120.096
"W01000428","Private Road - Restricted Access",31.043
"W01000428","Private Road - Publicly Accessible",0.09
"W01000428","B Road",13.632
"W01000428","Local Street",8.967
"W01000428","A Road",8.762
"W01000428","Minor Road",60.696
"W01000429","Local Street",31.894
"W01000429","Minor Road",166.219
"W01000429","A Road",28.847
"W01000429","Private Road - Restricted Access",275.938
"W01000429","B Road",25.455
"W01000429","Private Road - Publicly Accessible",0.498
"W01000430","Minor Road",49.666
"W01000430","A Road",28.273
"W01000430","B Road",3.845
"W01000430","Local Street",13.345
"W01000430","Private Road - Restricted Access",51.982
"W01000430","Private Road - Publicly Accessible",1.098
"W01000431","Minor Road",1.205
"W01000431","Private Road - Restricted Access",1.128
"W01000431","B Road",1.295
"W01000431","A Road",2.267
"W01000431","Local Street",2.03
"W01000431","Pedestrianised Street",0.058
"W01000432","A Road",1.91
"W01000432","Local Street",4.085
"W01000432","Private Road - Restricted Access",1.228
"W01000432","Pedestrianised Street",0.058
"W01000432","B Road",1.723
"W01000432","Minor Road",3.972
"W01000433","Alley",0.12
"W01000433","B Road",10.789
"W01000433","Minor Road",47.473
"W01000433","A Road",17.872
"W01000433","Private Road - Restricted Access",82.438
"W01000433","Local Street",18.415
"W01000434","B Road",7.716
"W01000434","Local Street",10.517
"W01000434","Private Road - Restricted Access",34.285
"W01000434","A Road",10.112
"W01000434","Minor Road",72.769
"W01000438","Private Road - Restricted Access",26.137
"W01000438","Minor Road",20.926
"W01000438","A Road",13.714
"W01000438","Local Street",10.761
"W01000439","Minor Road",68.541
"W01000439","Local Street",11.075
"W01000439","B Road",16.047
"W01000439","Private Road - Restricted Access",29.73
"W01000439","A Road",5.243
"W01000440","Private Road - Restricted Access",46.392
"W01000440","A Road",13.786
"W01000440","Minor Road",101.458
"W01000440","B Road",11.273
"W01000440","Local Street",21.404
"W01000441","Private Road - Restricted Access",26.106
"W01000441","Local Street",4.012
"W01000441","Minor Road",31.16
"W01000441","A Road",6.308
"W01000441","B Road",9.191
"W01000442","Local Street",19.278
"W01000442","A Road",29.675
"W01000442","Private Road - Publicly Accessible",0.085
"W01000442","Private Road - Restricted Access",266.171
"W01000442","B Road",7.453
"W01000442","Minor Road",110.074
"W01000443","Local Street",21.051
"W01000443","Private Road - Publicly Accessible",0.449
"W01000443","B Road",24.696
"W01000443","Private Road - Restricted Access",66.29
"W01000443","A Road",11.226
"W01000443","Minor Road",120.085
"W01000444","B Road",21.133
"W01000444","Private Road - Restricted Access",44.827
"W01000444","Minor Road",59.584
"W01000444","Private Road - Publicly Accessible",0.139
"W01000444","Local Street",15.47
"W01000444","A Road",11.637
"W01000445","Local Street",4.97
"W01000445","A Road",8.412
"W01000445","Private Road - Publicly Accessible",0.385
"W01000445","Private Road - Restricted Access",21.848
"W01000445","B Road",4.883
"W01000445","Minor Road",72.92
"W01000446","B Road",2.775
"W01000446","Local Street",4.017
"W01000446","Private Road - Restricted Access",1.45
"W01000446","Pedestrianised Street",0.029
"W01000446","Alley",0.045
"W01000446","Minor Road",3.794
"W01000447","Local Street",22.576
"W01000447","B Road",17.913
"W01000447","Minor Road",75.209
"W01000447","A Road",22.557
"W01000447","Alley",0.084
"W01000447","Private Road - Restricted Access",69.281
"W01000448","B Road",8.727
"W01000448","A Road",3.802
"W01000448","Local Street",9.16
"W01000448","Private Road - Restricted Access",6.456
"W01000448","Alley",0.085
"W01000448","Minor Road",12.861
"W01000449","Private Road - Publicly Accessible",0.049
"W01000449","Private Road - Restricted Access",6.29
"W01000449","A Road",7.571
"W01000449","Local Street",7.217
"W01000449","Minor Road",9.237
"W01000449","B Road",1.742
"W01000450","Minor Road",119.453
"W01000450","Private Road - Restricted Access",105.311
"W01000450","B Road",20.63
"W01000450","Private Road - Publicly Accessible",0.223
"W01000450","Local Street",25.993
"W01000450","A Road",12.261
"W01000451","Private Road - Restricted Access",32.896
"W01000451","Local Street",8.25
"W01000451","A Road",19.229
"W01000451","Minor Road",38.708
"W01000452","Minor Road",103.071
"W01000452","Local Street",36.795
"W01000452","B Road",17.94
"W01000452","Private Road - Restricted Access",237.078
"W01000452","A Road",24.747
"W01000453","Private Road - Restricted Access",69.904
"W01000453","Minor Road",82.699
"W01000453","Local Street",14.62
"W01000453","B Road",1.934
"W01000453","A Road",13.346
"W01000454","Private Road - Restricted Access",1.931
"W01000454","Local Street",3.162
"W01000454","Minor Road",2.865
"W01000454","A Road",3.288
"W01000454","Alley",0.093
"W01000454","Private Road - Publicly Accessible",0.051
"W01000455","Minor Road",2.078
"W01000455","Alley",0.091
"W01000455","A Road",4.598
"W01000455","Private Road - Restricted Access",4.439
"W01000455","Local Street",7.831
"W01000456","Private Road - Restricted Access",10.87
"W01000456","Local Street",7.61
"W01000456","Alley",0.1
"W01000456","A Road",1.909
"W01000456","Minor Road",11.237
"W01000457","Minor Road",51.862
"W01000457","Local Street",8.423
"W01000457","Private Road - Restricted Access",27.556
"W01000457","B Road",13.513
"W01000457","A Road",4.959
"W01000457","Private Road - Publicly Accessible",0.329
"W01000458","Local Street",14.265
"W01000458","B Road",6.363
"W01000458","Minor Road",14.724
"W01000458","Private Road - Restricted Access",9.246
"W01000458","A Road",4.588
"W01000459","A Road",23.743
"W01000459","Local Street",11.512
"W01000459","B Road",7.979
"W01000459","Private Road - Restricted Access",47.771
"W01000459","Minor Road",69.882
"W01000459","Alley",0.176
"W01000460","Local Street",10.961
"W01000460","A Road",12.543
"W01000460","Private Road - Publicly Accessible",0.032
"W01000460","Minor Road",73.822
"W01000460","Alley",0.069
"W01000460","Private Road - Restricted Access",37.921
"W01000460","B Road",10.003
"W01000461","Minor Road",46.881
"W01000461","Private Road - Restricted Access",37.414
"W01000461","Local Street",10.1
"W01000461","A Road",4.395
"W01000461","B Road",13.282
"W01000464","A Road",21.639
"W01000464","Private Road - Restricted Access",135.936
"W01000464","Local Street",15.742
"W01000464","Private Road - Publicly Accessible",0.028
"W01000464","Minor Road",76.429
"W01000464","B Road",21.266
"W01000465","Private Road - Restricted Access",14.958
"W01000465","Minor Road",24.528
"W01000465","B Road",15.409
"W01000465","Local Street",8.042
"W01000466","A Road",1.85
"W01000466","Local Street",6.862
"W01000466","Minor Road",1.034
"W01000466","Private Road - Restricted Access",2.661
"W01000466","B Road",2.53
"W01000467","Private Road - Restricted Access",7.086
"W01000467","B Road",4.336
"W01000467","A Road",1.728
"W01000467","Local Street",4.371
"W01000467","Private Road - Publicly Accessible",0.141
"W01000467","Minor Road",6.417
"W01000467","Alley",0.303
"W01000470","Minor Road",61.507
"W01000470","A Road",7.599
"W01000470","Local Street",12.582
"W01000470","Private Road - Restricted Access",30.07
"W01000470","B Road",8.142
"W01000471","Private Road - Restricted Access",289.406
"W01000471","Alley",0.188
"W01000471","B Road",7.347
"W01000471","Minor Road",114.109
"W01000471","A Road",18.709
"W01000471","Local Street",7.644
"W01000472","Minor Road",14.712
"W01000472","A Road",12.802
"W01000472","B Road",4.073
"W01000472","Local Street",13.929
"W01000472","Private Road - Restricted Access",17.141
"W01000473","Private Road - Restricted Access",11.845
"W01000473","Local Street",6.754
"W01000473","Alley",0.18
"W01000473","Private Road - Publicly Accessible",0.126
"W01000473","Minor Road",3.405
"W01000473","A Road",4.22
"W01000474","Private Road - Restricted Access",125.81
"W01000474","Alley",0.137
"W01000474","Minor Road",163.377
"W01000474","A Road",36.974
"W01000474","Local Street",14.924
"W01000475","Private Road - Restricted Access",93.17
"W01000475","B Road",30.361
"W01000475","Local Street",19.937
"W01000475","Private Road - Publicly Accessible",0.589
"W01000475","Minor Road",164.208
"W01000475","A Road",25.211
"W01000476","B Road",12.798
"W01000476","Minor Road",14.846
"W01000476","Private Road - Restricted Access",8.379
"W01000476","Local Street",3.688
"W01000477","Local Street",16.67
"W01000477","A Road",30.404
"W01000477","B Road",13.116
"W01000477","Private Road - Restricted Access",156.122
"W01000477","Private Road - Publicly Accessible",0.22
"W01000477","Minor Road",114.533
"W01000478","Local Street",3.999
"W01000478","A Road",0.63
"W01000478","Minor Road",1.063
"W01000478","Private Road - Restricted Access",0.072
"W01000479","Private Road - Publicly Accessible",0.12
"W01000479","Local Street",3.013
"W01000479","Private Road - Restricted Access",0.295
"W01000479","Minor Road",0.729
"W01000479","A Road",1.079
"W01000480","Local Street",6.76
"W01000480","Private Road - Publicly Accessible",0.794
"W01000480","Minor Road",14.85
"W01000480","Private Road - Restricted Access",6.53
"W01000480","B Road",0.878
"W01000480","A Road",8.125
"W01000481","Private Road - Restricted Access",10.115
"W01000481","Alley",0.078
"W01000481","Minor Road",5.631
"W01000481","B Road",4.69
